product_name,service_type,region,rpt_mth,rpt_year,high_or_low_better,metric_name,metric_value,data_type,load_ts,summary
Wireless,prepaid,New England,January,2025,High value is better,QES Score,48.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in New England for January 2025 has a metric of QES Score with a value of 48, where High value is better"
Wireless,prepaid,New England,January,2025,Low value is better,Wireless Disconnects with 60 days device change,3343.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in New England for January 2025 has a metric of Wireless Disconnects with 60 days device change with a value of 3343, where Low value is better"
Wireline,voice,West,January,2025,High value is better,Wireline Net Adds,1202.0,Monthly,2025-06-25T13:04:50.975688,"Wireline voice service in West for January 2025 has a metric of Wireline Net Adds with a value of 1202, where High value is better"
Wireline,video,South,January,2025,High value is better,Wireline Net Adds,2377.0,Monthly,2025-06-25T13:04:50.975688,"Wireline video service in South for January 2025 has a metric of Wireline Net Adds with a value of 2377, where High value is better"
Wireless,postpaid,South,January,2025,Low value is better,Customer Trouble Tickets - Call Drop,663.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in South for January 2025 has a metric of Customer Trouble Tickets - Call Drop with a value of 663, where Low value is better"
Wireless,prepaid,Northeast,January,2025,High value is better,Wireless Net Adds - New customers,25516.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in Northeast for January 2025 has a metric of Wireless Net Adds - New customers with a value of 25516, where High value is better"
Wireless,postpaid,New England,January,2025,High value is better,Number of Customer Interactions,52204.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in New England for January 2025 has a metric of Number of Customer Interactions with a value of 52204, where High value is better"
Wireless,postpaid,Northeast,January,2025,Low value is better,Service Related Call Volume,2140.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in Northeast for January 2025 has a metric of Service Related Call Volume with a value of 2140, where Low value is better"
Wireless,prepaid,New England,January,2025,High value is better,Wireless Net Adds - New customers,8513.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in New England for January 2025 has a metric of Wireless Net Adds - New customers with a value of 8513, where High value is better"
Wireless,postpaid,South,January,2025,Low value is better,Wireless Disconnects with 30 days device change,4297.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in South for January 2025 has a metric of Wireless Disconnects with 30 days device change with a value of 4297, where Low value is better"
Wireless,prepaid,New England,January,2025,High value is better,ARPU (Average Revenue Per User),67.27,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in New England for January 2025 has a metric of ARPU (Average Revenue Per User) with a value of 67.27, where High value is better"
Wireline,video,New England,January,2025,Low value is better,Wireline Churn Rate,0.03,Monthly,2025-06-25T13:04:50.975688,"Wireline video service in New England for January 2025 has a metric of Wireline Churn Rate with a value of 0.03, where Low value is better"
Wireless,prepaid,South,January,2025,High value is better,Wireless Net Adds - Add a Line (AAL),763.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in South for January 2025 has a metric of Wireless Net Adds - Add a Line (AAL) with a value of 763, where High value is better"
Wireless,prepaid,Midwest,January,2025,Low value is better,Wireless Churn Rate,0.01,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in Midwest for January 2025 has a metric of Wireless Churn Rate with a value of 0.01, where Low value is better"
Wireless,prepaid,West,January,2025,High value is better,Wireless Net Adds - Add a Line (AAL),8104.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in West for January 2025 has a metric of Wireless Net Adds - Add a Line (AAL) with a value of 8104, where High value is better"
Wireless,postpaid,South,January,2025,Low value is better,Wireless Churn Rate,0.01,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in South for January 2025 has a metric of Wireless Churn Rate with a value of 0.01, where Low value is better"
Wireless,postpaid,Midwest,January,2025,Low value is better,Wireless Disconnects with 60 days device change,1334.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in Midwest for January 2025 has a metric of Wireless Disconnects with 60 days device change with a value of 1334, where Low value is better"
Wireline,video,Northeast,January,2025,Low value is better,Wireline Churn Rate,0.04,Monthly,2025-06-25T13:04:50.975688,"Wireline video service in Northeast for January 2025 has a metric of Wireline Churn Rate with a value of 0.04, where Low value is better"
Wireline,data,Northeast,January,2025,High value is better,Wireline Gross Adds,21898.0,Monthly,2025-06-25T13:04:50.975688,"Wireline data service in Northeast for January 2025 has a metric of Wireline Gross Adds with a value of 21898, where High value is better"
Wireless,postpaid,New England,January,2025,Low value is better,Wireless Disconnects with 30 days plan change,1311.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in New England for January 2025 has a metric of Wireless Disconnects with 30 days plan change with a value of 1311, where Low value is better"
Wireless,postpaid,South,January,2025,Low value is better,Wireless Disconnects with 60 days device change,1209.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in South for January 2025 has a metric of Wireless Disconnects with 60 days device change with a value of 1209, where Low value is better"
Wireless,postpaid,West,January,2025,High value is better,Number Of Customers with Autopay Discount,1026.0,Monthly,2025-06-25T13:04:50.975688,"Wireless postpaid service in West for January 2025 has a metric of Number Of Customers with Autopay Discount with a value of 1026, where High value is better"
Wireless,prepaid,West,January,2025,Low value is better,Wireless Disconnects with Bill Shock,3777.0,Monthly,2025-06-25T13:04:50.975688,"Wireless prepaid service in West for January 2025 has a metric of Wireless Disconnects with Bill Shock with a value of 3777, where Low value is better"
