metric_a,relationship_type,metric_b,reasoning
WIRELESS NET ADDS NEW CUSTOMERS,POSITIVELY IMPACTS,WIRELESS NET ADDS,NEW CUSTOMERS DIRECTLY CONTRIBUTE TO THE OVERALL NET ADDS.
WIRELESS PORT IN,POSITIVELY IMPACTS,WIRELESS NET ADDS,PORT-INS DIRECTLY CONTRIBUTE TO THE OVERALL NET ADDS.
WIRELESS PORT IN,NEGATIVELY IMPACTS,WIRELESS CHURN RATE,HIGHER PORT-INS CAN INDIRECTLY DECREASE CHURN BY IMPROVING THE OVERALL CUSTOMER BASE.
WIRELESS NET ADDS NEW CUSTOMERS,POSITIVELY IMPACTS,ARPA,NEW CUSTOMERS CONTRIBUTE TO THE REVENUE BASE WHICH IMPACTS ARPA.
WIRELESS PORT OUT,NEGATIVELY IMPACTS,ARPA,"PORT OUTS REDUCE THE REVENUE BASE, THUS IMPACTING ARPA."
WIRELESS PORT IN,POSITIVELY IMPACTS,ARPA,"PORT-INS INCREASE THE REVENUE BASE, THUS IMPACTING ARPA."
WIRELESS CHURN RATE,NEGATIVELY IMPACTS,ARPA,"CHURN REDUCES THE REVENUE BASE, THUS IMPACTING ARPA."
WIRELESS NET ADDS,POSITIVELY IMPACTS,NUMBER OF CUSTOMERS WITH AUTOPAY DISCOUNT,NET ADDS INCREASE THE POTENTIAL CUSTOMER BASE FOR AUTOPAY ENROLLMENT.
WIRELESS CHURN RATE,NEGATIVELY IMPACTS,NUMBER OF CUSTOMERS WITH AUTOPAY DISCOUNT,HIGHER CHURN REDUCES THE NUMBER OF CUSTOMERS ELIGIBLE FOR AUTOPAY DISCOUNTS.
WIRELESS PORT OUT,NEGATIVELY IMPACTS,WIRELESS NET ADDS,PORT OUTS DIRECTLY REDUCE NET ADDS.
NUMBER OF CUSTOMERS WITH AUTOPAY DISCOUNT,POSITIVELY IMPACTS,NPS SCORE,CUSTOMERS ENROLLED IN AUTOPAY MIGHT HAVE HIGHER SATISFACTION LEVELS.
NUMBER OF CUSTOMERS WITH AUTOPAY DISCOUNT,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,AUTOPAY CUSTOMERS MIGHT REQUIRE LESS SERVICE-RELATED CALLS.
