product_name,service_type,region,rpt_mth,rpt_year,high_or_low_better,metric_name,metric_value,data_type,load_ts,summary
Wireless,prepaid,Midwest,January,2024,High value is better,Wireless Port In,6024.0,Monthly,2025-06-25T13:04:42.586214,"Wireless prepaid service in Midwest for January 2024 has a metric of Wireless Port In with a value of 6024, where High value is better"
Wireless,postpaid,New England,January,2024,Low value is better,Customer Trouble Tickets - Call Drop,560.0,Monthly,2025-06-25T13:04:42.586214,"Wireless postpaid service in New England for January 2024 has a metric of Customer Trouble Tickets - Call Drop with a value of 560, where Low value is better"
Wireline,video,South,January,2024,Low value is better,Wireline Churn Rate,0.02,Monthly,2025-06-25T13:04:42.586214,"Wireline video service in South for January 2024 has a metric of Wireline Churn Rate with a value of 0.02, where Low value is better"
Wireless,prepaid,West,January,2024,High value is better,Wireless Net Adds,55058.0,Monthly,2025-06-25T13:04:42.586214,"Wireless prepaid service in West for January 2024 has a metric of Wireless Net Adds with a value of 55058, where High value is better"
Wireless,prepaid,New England,January,2024,Low value is better,Wireless Port Out,3590.0,Monthly,2025-06-25T13:04:42.586214,"Wireless prepaid service in New England for January 2024 has a metric of Wireless Port Out with a value of 3590, where Low value is better"
Wireline,data,New England,January,2024,High value is better,Wireline Net Adds,847.0,Monthly,2025-06-25T13:04:42.586214,"Wireline data service in New England for January 2024 has a metric of Wireline Net Adds with a value of 847, where High value is better"
Wireless,postpaid,West,January,2024,Low value is better,Customer Trouble Tickets - Discount Related,41.0,Monthly,2025-06-25T13:04:42.586214,"Wireless postpaid service in West for January 2024 has a metric of Customer Trouble Tickets - Discount Related with a value of 41, where Low value is better"
Wireless,prepaid,South,January,2024,Low value is better,Customer Trouble Tickets - Call Drop,503.0,Monthly,2025-06-25T13:04:42.586214,"Wireless prepaid service in South for January 2024 has a metric of Customer Trouble Tickets - Call Drop with a value of 503, where Low value is better"
Wireless,prepaid,South,January,2024,High value is better,Wireless Net Adds - New customers,15466.0,Monthly,2025-06-25T13:04:42.586214,"Wireless prepaid service in South for January 2024 has a metric of Wireless Net Adds - New customers with a value of 15466, where High value is better"
Wireless,postpaid,West,January,2024,Low value is better,Wireless Port Out,850.0,Monthly,2025-06-25T13:04:42.586214,"Wireless postpaid service in West for January 2024 has a metric of Wireless Port Out with a value of 850, where Low value is better"
